Area_slug,Units,Occupied,occ_rate0,Year,Area_display,Region,Household_Population,Units_per_1k
quezon city,719223.8473377785,683262.6549708896,0.95,2022,Quezon City,NCR,3068512.7200000007,234.38841972203994
quezon city,731124.4275824577,694568.2062033347,0.95,2023,Quezon City,NCR,3133792.1653199443,233.30341931205052
quezon city,731124.4275824577,694568.2062033347,0.95,2024,Quezon City,NCR,3133792.1653199443,233.30341931205052
quezon city,733284.3206777823,696620.1046438932,0.95,2025,Quezon City,NCR,3145695.1430665334,233.10724254193022
quezon city,735450.5945449796,698678.0648177306,0.95,2026,Quezon City,NCR,3157643.331494544,232.91123073006585
quezon city,737623.268034173,700742.1046324642,0.95,2027,Quezon City,NCR,3169636.9023261974,232.7153837377496
quezon city,739802.3600511714,702812.2420486128,0.95,2028,Quezon City,NCR,3181676.0279359515,232.51970142639047
quezon city,741987.8895576372,704888.4950797553,0.95,2029,Quezon City,NCR,3193760.881352997,232.3241836575139
rizal,746907.0,746907.0,0.95,2020,Rizal,Region IV-A (Calabarzon),3321325.0,224.8822382633437
rizal,774063.4537566259,735360.2810687945,0.95,2021,Rizal,Region IV-A (Calabarzon),3454178.0000000005,224.09483638556722
rizal,812800.6144601827,772160.5837371736,0.95,2022,Rizal,Region IV-A (Calabarzon),3592345.1200000006,226.2590556611617
rizal,839707.7255845867,797722.3393053573,0.95,2023,Rizal,Region IV-A (Calabarzon),3736038.9248000006,224.75882679127557
rizal,844516.5438551427,802290.7166623855,0.95,2024,Rizal,Region IV-A (Calabarzon),3763547.372126073,224.3937594913453
rizal,860870.101923432,817826.5968272603,0.95,2025,Rizal,Region IV-A (Calabarzon),3857248.744563164,223.1824180737211
rizal,877539.5648018435,833662.5865617513,0.95,2026,Rizal,Region IV-A (Calabarzon),3953278.560634421,221.9776702659213
