Area_slug,Area_display,Region,Year,Value,variable,Households,Avg_Family_Income,Price,Price_to_Income
manila,Manila,NCR,2029,306745.028893848,FamilyIncome_Total,526387.8139266194,582735.8095653208,13332675.82598297,22.879451729469295
marikina,Marikina,NCR,2024,60399.48,FamilyIncome_Total,110901.77436173614,544621.4034681786,9740936.872095816,17.885703371305283
marikina,Marikina,NCR,2025,63113.10857189592,FamilyIncome_Total,111323.00885421252,566936.7835228763,9782046.50991297,17.25421033563658
marikina,Marikina,NCR,2026,65948.65508126703,FamilyIncome_Total,111745.84330754312,590166.5165277368,9823329.642573953,16.645013513084105
marikina,Marikina,NCR,2027,68911.59705869186,FamilyIncome_Total,112170.2837988058,614348.0672857628,9864787.002278391,16.057325688126248
marikina,Marikina,NCR,2028,72007.65812930721,FamilyIncome_Total,112596.33642816044,639520.4356870889,9906419.324315988,15.490387439570581
marikina,Marikina,NCR,2029,75242.81906935175,FamilyIncome_Total,113024.00731893728,665724.2196078527,9948227.3470796,14.943466159214754
muntinlupa,Muntinlupa,NCR,2024,80328.59,FamilyIncome_Total,146924.80342128355,546732.6695661489,28848236.445845,52.76479356672991
muntinlupa,Muntinlupa,NCR,2025,83937.59386831331,FamilyIncome_Total,147482.86297765715,569134.5568808859,28969984.545388646,50.90181960511629
muntinlupa,Muntinlupa,NCR,2026,87708.7431063068,FamilyIncome_Total,148043.0421929392,592454.3417042128,29092246.457961023,49.10462192626743
muntinlupa,Muntinlupa,NCR,2027,91649.32258312264,FamilyIncome_Total,148605.3491181593,616729.6340742776,29215024.3520053,47.3708781577483
muntinlupa,Muntinlupa,NCR,2028,95766.9444625895,FamilyIncome_Total,149169.79183492658,641999.5850672404,29338320.405116014,45.69834792345425
muntinlupa,Muntinlupa,NCR,2029,100069.56290792798,FamilyIncome_Total,149736.3784555467,668304.9499399796,29462136.8040779,44.084869948552516
navotas,Navotas,NCR,2024,21291.41,FamilyIncome_Total,67091.24532976859,317350.04910622723,,
navotas,Navotas,NCR,2025,22247.990727382927,FamilyIncome_Total,67346.07575821521,330353.18653543084,,
navotas,Navotas,NCR,2026,23247.548725317494,FamilyIncome_Total,67601.87410053705,343889.1160139125,,
navotas,Navotas,NCR,2027,24292.01487713805,FamilyIncome_Total,67858.644033129,357979.6682244128,,
navotas,Navotas,NCR,2028,25383.406816928105,FamilyIncome_Total,68116.38924634976,372647.56834256824,,
navotas,Navotas,NCR,2029,26523.832827060534,FamilyIncome_Total,68375.11344457511,387916.472687987,,
nueva ecija,Nueva Ecija,Region III (Central Luzon),2024,194488.54,FamilyIncome_Total,642412.2111968538,302747.26508958446,,
nueva ecija,Nueva Ecija,Region III (Central Luzon),2025,206157.85240000003,FamilyIncome_Total,657699.2304500081,313453.0844120703,,
