Region,Province,City,year,month,EMP_w,observed,projection_reliance,ts_model
Region III (Central Luzon),Pampanga,Mabalacat City,2024,3,35362,TRUE,,
Region III (Central Luzon),Pampanga,Mabalacat City,2024,4,105088,TRUE,,
Region III (Central Luzon),Pampanga,Mabalacat City,2024,5,55343,TRUE,,
Region III (Central Luzon),Pampanga,Mabalacat City,2024,6,380984,TRUE,,
Region III (Central Luzon),Pampanga,Mabalacat City,2024,7,211993,TRUE,,
Region III (Central Luzon),Pampanga,Mabalacat City,2024,8,175291,TRUE,,
Region III (Central Luzon),Pampanga,Mabalacat City,2024,9,187170,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Pampanga,Mabalacat City,2024,10,102482,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Pampanga,Mabalacat City,2024,11,72026,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Pampanga,Mabalacat City,2024,12,137736,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Pampanga,San Fernando City,2024,1,168513,TRUE,,
Region III (Central Luzon),Pampanga,San Fernando City,2024,2,383331,TRUE,,
Region III (Central Luzon),Pampanga,San Fernando City,2024,3,152860,TRUE,,
Region III (Central Luzon),Pampanga,San Fernando City,2024,4,274327,TRUE,,
Region III (Central Luzon),Pampanga,San Fernando City,2024,5,214326,TRUE,,
Region III (Central Luzon),Pampanga,San Fernando City,2024,6,279938,TRUE,,
Region III (Central Luzon),Pampanga,San Fernando City,2024,7,200587,TRUE,,
Region III (Central Luzon),Pampanga,San Fernando City,2024,8,157893,TRUE,,
Region III (Central Luzon),Pampanga,San Fernando City,2024,9,200198,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Pampanga,San Fernando City,2024,10,150357,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Pampanga,San Fernando City,2024,11,171753,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Pampanga,San Fernando City,2024,12,228918,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Tarlac,Tarlac City,2024,1,184050,TRUE,,
Region III (Central Luzon),Tarlac,Tarlac City,2024,2,122564,TRUE,,
Region III (Central Luzon),Tarlac,Tarlac City,2024,3,38259,TRUE,,
Region III (Central Luzon),Tarlac,Tarlac City,2024,4,182141,TRUE,,
Region III (Central Luzon),Tarlac,Tarlac City,2024,5,38583,TRUE,,
Region III (Central Luzon),Tarlac,Tarlac City,2024,6,32923,TRUE,,
Region III (Central Luzon),Tarlac,Tarlac City,2024,7,166725,TRUE,,
Region III (Central Luzon),Tarlac,Tarlac City,2024,8,164536,TRUE,,
Region III (Central Luzon),Tarlac,Tarlac City,2024,9,110189,FALSE,time_series,"ETS(A,?,A)_log"
