Area,Year,IncomeGroup,Value
Pasay City,2018,5th Decile,4662.4
Pasay City,2018,6th Decile,4426.24
Pasay City,2018,7th Decile,5524.07
Pasay City,2018,8th Decile,6178.42
Pasay City,2018,9th Decile,7014.22
Pasay City,2018,All Income Groups,49277.21
Pasay City,2021,10th Decile,8520.46
Pasay City,2021,1st Decile,2364.5
Pasay City,2021,2nd Decile,2842.66
Pasay City,2021,3rd Decile,3390.0
Pasay City,2021,4th Decile,3737.06
Pasay City,2021,5th Decile,4298.11
Pasay City,2021,6th Decile,4483.05
Pasay City,2021,7th Decile,5070.6
Pasay City,2021,8th Decile,5922.81
Pasay City,2021,9th Decile,6076.2
Pasay City,2021,All Income Groups,46705.45
Pasay City,2023,10th Decile,9637.41
Pasay City,2023,1st Decile,3517.44
Pasay City,2023,2nd Decile,4001.78
Pasay City,2023,3rd Decile,4292.48
Pasay City,2023,4th Decile,4931.53
Pasay City,2023,5th Decile,5563.65
Pasay City,2023,6th Decile,6010.8
Pasay City,2023,7th Decile,6272.59
Pasay City,2023,8th Decile,6863.36
Pasay City,2023,9th Decile,6914.58
Pasay City,2023,All Income Groups,58005.62
City of Makati,2018,10th Decile,31014.89
City of Makati,2018,1st Decile,4657.52
City of Makati,2018,2nd Decile,6228.52
City of Makati,2018,3rd Decile,7312.5
City of Makati,2018,4th Decile,8010.09
City of Makati,2018,5th Decile,8592.26
City of Makati,2018,6th Decile,8843.93
City of Makati,2018,7th Decile,11013.34
City of Makati,2018,8th Decile,12882.17
City of Makati,2018,9th Decile,14364.95
City of Makati,2018,All Income Groups,112920.17
City of Makati,2021,10th Decile,32520.35
City of Makati,2021,1st Decile,4661.32
City of Makati,2021,2nd Decile,6335.13
City of Makati,2021,3rd Decile,7207.62
City of Makati,2021,4th Decile,8581.83
City of Makati,2021,5th Decile,7857.56
City of Makati,2021,6th Decile,10612.38
City of Makati,2021,7th Decile,10311.39
City of Makati,2021,8th Decile,10838.87
City of Makati,2021,9th Decile,12648.23
City of Makati,2021,All Income Groups,111574.69
City of Makati,2023,10th Decile,57709.27
City of Makati,2023,1st Decile,6053.1
City of Makati,2023,2nd Decile,7776.69
City of Makati,2023,3rd Decile,9866.18
City of Makati,2023,4th Decile,10633.73
City of Makati,2023,5th Decile,11484.72
City of Makati,2023,6th Decile,12767.96
City of Makati,2023,7th Decile,14146.57
City of Makati,2023,8th Decile,15649.22
City of Makati,2023,9th Decile,18259.65
City of Makati,2023,All Income Groups,164347.09
Pateros,2018,10th Decile,1166.37
Pateros,2018,1st Decile,279.47
Pateros,2018,2nd Decile,347.03
Pateros,2018,3rd Decile,442.95
Pateros,2018,4th Decile,528.02
Pateros,2018,5th Decile,585.76
Pateros,2018,6th Decile,569.51
Pateros,2018,7th Decile,643.79
Pateros,2018,8th Decile,769.43
Pateros,2018,9th Decile,799.69
Pateros,2018,All Income Groups,6132.02
Pateros,2021,10th Decile,790.28
Pateros,2021,1st Decile,275.72
Pateros,2021,2nd Decile,378.41
Pateros,2021,3rd Decile,369.94
Pateros,2021,4th Decile,436.16
Pateros,2021,5th Decile,484.67
Pateros,2021,6th Decile,507.65
Pateros,2021,7th Decile,601.87
Pateros,2021,8th Decile,621.12
Pateros,2021,9th Decile,628.52
Pateros,2021,All Income Groups,5094.35
Pateros,2023,10th Decile,1319.84
Pateros,2023,1st Decile,346.14
Pateros,2023,2nd Decile,445.65
Pateros,2023,3rd Decile,485.88
Pateros,2023,4th Decile,593.5
Pateros,2023,5th Decile,652.19
Pateros,2023,6th Decile,714.14
Pateros,2023,7th Decile,726.48
Pateros,2023,8th Decile,847.15
Pateros,2023,9th Decile,1004.92
Pateros,2023,All Income Groups,7135.91
City of Taguig,2018,10th Decile,18998.48
City of Taguig,2018,1st Decile,5017.77
City of Taguig,2018,2nd Decile,6478.48
City of Taguig,2018,3rd Decile,7514.66
City of Taguig,2018,4th Decile,7850.06
City of Taguig,2018,5th Decile,8255.89
City of Taguig,2018,6th Decile,9784.64
City of Taguig,2018,7th Decile,11108.71
City of Taguig,2018,8th Decile,12214.75
City of Taguig,2018,9th Decile,12492.74
City of Taguig,2018,All Income Groups,99716.19
City of Taguig,2021,10th Decile,19035.96
City of Taguig,2021,1st Decile,5348.52
City of Taguig,2021,2nd Decile,6852.11
City of Taguig,2021,3rd Decile,7221.94
City of Taguig,2021,4th Decile,8291.47
City of Taguig,2021,5th Decile,8354.49
City of Taguig,2021,6th Decile,9219.16
City of Taguig,2021,7th Decile,10476.48
City of Taguig,2021,8th Decile,11279.65
City of Taguig,2021,9th Decile,13546.87
City of Taguig,2021,All Income Groups,99626.64
City of Taguig,2023,10th Decile,37096.64
City of Taguig,2023,1st Decile,6801.57
City of Taguig,2023,2nd Decile,8700.42
City of Taguig,2023,3rd Decile,10205.81
City of Taguig,2023,4th Decile,11041.54
City of Taguig,2023,5th Decile,11741.16
City of Taguig,2023,6th Decile,14197.15
City of Taguig,2023,7th Decile,14585.42
City of Taguig,2023,8th Decile,17123.33
City of Taguig,2023,9th Decile,18880.56
City of Taguig,2023,All Income Groups,150373.59
