Housing_Unit_Type,Region,City/Province,Year,Occupied Housing Units,Number of Households /a,Household Population /a,Total,One Floor,Two Floors,Three Floors,Four Floors,Five to 10 Floors,11 Floors or more,Not Reported,Not applicable
Duplex,Region Ix (Zamboanga Peninsula),City Of Zamboanga,2020,6708.0,7117.0,28276.0,6708.0,5070.0,1606.0,22.0,4.0,0.0,0.0,6.0,0.0
Institutional Living Quarter,Region Ix (Zamboanga Peninsula),City Of Zamboanga,2020,33.0,33.0,121.0,33.0,24.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region Ix (Zamboanga Peninsula),City Of Zamboanga,2020,4.0,5.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Other Multi-Unit Residential,Region Ix (Zamboanga Peninsula),City Of Zamboanga,2020,4329.0,4533.0,17347.0,4329.0,2859.0,1430.0,31.0,8.0,0.0,0.0,1.0,0.0
Other Types Of Building,Region Ix (Zamboanga Peninsula),City Of Zamboanga,2020,16.0,16.0,67.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Single House,Region Ix (Zamboanga Peninsula),City Of Zamboanga,2020,193942.0,210441.0,904101.0,193942.0,170856.0,22474.0,436.0,94.0,0.0,0.0,82.0,0.0
All Types Of Building,Region Ix (Zamboanga Peninsula),Zamboanga Del Norte,2020,240805.0,247968.0,1046014.0,240805.0,223114.0,17334.0,305.0,27.0,3.0,0.0,22.0,0.0
Apartment/Accessoria/Row House,Region Ix (Zamboanga Peninsula),Zamboanga Del Norte,2020,2282.0,2304.0,7475.0,2282.0,1329.0,866.0,80.0,7.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Ix (Zamboanga Peninsula),Zamboanga Del Norte,2020,159.0,160.0,620.0,159.0,99.0,35.0,17.0,4.0,3.0,0.0,1.0,0.0
Condominium/Condotel,Region Ix (Zamboanga Peninsula),Zamboanga Del Norte,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region Ix (Zamboanga Peninsula),Zamboanga Del Norte,2020,2299.0,2341.0,9222.0,2299.0,1763.0,530.0,6.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region Ix (Zamboanga Peninsula),Zamboanga Del Norte,2020,24.0,24.0,72.0,24.0,18.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region Ix (Zamboanga Peninsula),Zamboanga Del Norte,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Ix (Zamboanga Peninsula),Zamboanga Del Norte,2020,438.0,448.0,1551.0,438.0,247.0,190.0,1.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Ix (Zamboanga Peninsula),Zamboanga Del Norte,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Single House,Region Ix (Zamboanga Peninsula),Zamboanga Del Norte,2020,235603.0,242691.0,1027074.0,235603.0,219658.0,15709.0,199.0,16.0,0.0,0.0,21.0,0.0
All Types Of Building,Region Ix (Zamboanga Peninsula),Zamboanga Del Sur *,2020,232500.0,239224.0,1048302.0,232500.0,216958.0,15202.0,260.0,28.0,6.0,0.0,35.0,11.0
Apartment/Accessoria/Row House,Region Ix (Zamboanga Peninsula),Zamboanga Del Sur *,2020,577.0,580.0,2022.0,577.0,296.0,253.0,20.0,8.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Ix (Zamboanga Peninsula),Zamboanga Del Sur *,2020,240.0,250.0,958.0,240.0,99.0,67.0,60.0,7.0,5.0,0.0,2.0,0.0
Condominium/Condotel,Region Ix (Zamboanga Peninsula),Zamboanga Del Sur *,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region Ix (Zamboanga Peninsula),Zamboanga Del Sur *,2020,1046.0,1072.0,4474.0,1046.0,797.0,245.0,4.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region Ix (Zamboanga Peninsula),Zamboanga Del Sur *,2020,53.0,53.0,250.0,53.0,48.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0
Not Reported,Region Ix (Zamboanga Peninsula),Zamboanga Del Sur *,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Ix (Zamboanga Peninsula),Zamboanga Del Sur *,2020,645.0,649.0,2430.0,645.0,428.0,211.0,6.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Ix (Zamboanga Peninsula),Zamboanga Del Sur *,2020,11.0,11.0,45.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Single House,Region Ix (Zamboanga Peninsula),Zamboanga Del Sur *,2020,229928.0,236609.0,1038123.0,229928.0,215290.0,14425.0,168.0,12.0,0.0,0.0,33.0,0.0
All Types Of Building,Region Ix (Zamboanga Peninsula),Zamboanga Sibugay,2020,151206.0,154664.0,668639.0,151206.0,142776.0,8306.0,103.0,16.0,0.0,0.0,4.0,1.0
Apartment/Accessoria/Row House,Region Ix (Zamboanga Peninsula),Zamboanga Sibugay,2020,212.0,213.0,674.0,212.0,141.0,60.0,11.0,0.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Ix (Zamboanga Peninsula),Zamboanga Sibugay,2020,326.0,332.0,1136.0,326.0,258.0,53.0,9.0,6.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Region Ix (Zamboanga Peninsula),Zamboanga Sibugay,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region Ix (Zamboanga Peninsula),Zamboanga Sibugay,2020,2536.0,2556.0,10454.0,2536.0,2173.0,359.0,4.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region Ix (Zamboanga Peninsula),Zamboanga Sibugay,2020,34.0,34.0,114.0,34.0,25.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0
Not Reported,Region Ix (Zamboanga Peninsula),Zamboanga Sibugay,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Ix (Zamboanga Peninsula),Zamboanga Sibugay,2020,1043.0,1047.0,3697.0,1043.0,776.0,263.0,0.0,4.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Ix (Zamboanga Peninsula),Zamboanga Sibugay,2020,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Single House,Region Ix (Zamboanga Peninsula),Zamboanga Sibugay,2020,147054.0,150481.0,652560.0,147054.0,139403.0,7564.0,78.0,5.0,0.0,0.0,4.0,0.0
All Types Of Building,Region V (Bicol Region),Albay,2020,305362.0,311416.0,1372454.0,305362.0,271116.0,31315.0,2693.0,184.0,5.0,11.0,31.0,7.0
Apartment/Accessoria/Row House,Region V (Bicol Region),Albay,2020,1901.0,1962.0,6988.0,1901.0,751.0,944.0,190.0,15.0,0.0,0.0,1.0,0.0
Commercial/Industrial/Agricultural,Region V (Bicol Region),Albay,2020,269.0,274.0,910.0,269.0,121.0,83.0,50.0,9.0,5.0,0.0,1.0,0.0
Condominium/Condotel,Region V (Bicol Region),Albay,2020,11.0,11.0,36.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
Duplex,Region V (Bicol Region),Albay,2020,6334.0,6425.0,26419.0,6334.0,4874.0,1351.0,101.0,7.0,0.0,0.0,1.0,0.0
Institutional Living Quarter,Region V (Bicol Region),Albay,2020,57.0,102.0,401.0,57.0,24.0,23.0,8.0,2.0,0.0,0.0,0.0,0.0
Not Reported,Region V (Bicol Region),Albay,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region V (Bicol Region),Albay,2020,1748.0,1769.0,6893.0,1748.0,1043.0,641.0,63.0,1.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region V (Bicol Region),Albay,2020,7.0,7.0,34.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Single House,Region V (Bicol Region),Albay,2020,295035.0,300866.0,1330773.0,295035.0,264303.0,28273.0,2281.0,150.0,0.0,0.0,28.0,0.0
All Types Of Building,Region V (Bicol Region),Camarines Norte,2020,142094.0,144139.0,628788.0,142094.0,131324.0,10267.0,451.0,31.0,0.0,0.0,11.0,10.0
Apartment/Accessoria/Row House,Region V (Bicol Region),Camarines Norte,2020,2132.0,2171.0,8069.0,2132.0,1307.0,744.0,74.0,7.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region V (Bicol Region),Camarines Norte,2020,236.0,245.0,903.0,236.0,145.0,66.0,17.0,8.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Region V (Bicol Region),Camarines Norte,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region V (Bicol Region),Camarines Norte,2020,2392.0,2433.0,9913.0,2392.0,2021.0,364.0,7.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region V (Bicol Region),Camarines Norte,2020,9.0,9.0,35.0,9.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region V (Bicol Region),Camarines Norte,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region V (Bicol Region),Camarines Norte,2020,481.0,487.0,1954.0,481.0,347.0,115.0,19.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region V (Bicol Region),Camarines Norte,2020,10.0,10.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Single House,Region V (Bicol Region),Camarines Norte,2020,136834.0,138784.0,607895.0,136834.0,127501.0,8977.0,329.0,16.0,0.0,0.0,11.0,0.0
All Types Of Building,Region V (Bicol Region),Camarines Sur,2020,445150.0,455217.0,2062175.0,445150.0,400769.0,42257.0,1960.0,86.0,22.0,2.0,33.0,21.0
Apartment/Accessoria/Row House,Region V (Bicol Region),Camarines Sur,2020,7233.0,7304.0,28450.0,7233.0,2665.0,4341.0,206.0,10.0,11.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region V (Bicol Region),Camarines Sur,2020,609.0,626.0,2176.0,609.0,344.0,202.0,56.0,5.0,0.0,2.0,0.0,0.0
Condominium/Condotel,Region V (Bicol Region),Camarines Sur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region V (Bicol Region),Camarines Sur,2020,9335.0,9502.0,40437.0,9335.0,7276.0,1978.0,75.0,6.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region V (Bicol Region),Camarines Sur,2020,46.0,46.0,192.0,46.0,23.0,18.0,3.0,2.0,0.0,0.0,0.0,0.0
Not Reported,Region V (Bicol Region),Camarines Sur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region V (Bicol Region),Camarines Sur,2020,2852.0,2890.0,11587.0,2852.0,1885.0,876.0,73.0,6.0,11.0,0.0,1.0,0.0
Other Types Of Building,Region V (Bicol Region),Camarines Sur,2020,21.0,21.0,67.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Single House,Region V (Bicol Region),Camarines Sur,2020,425054.0,434828.0,1979266.0,425054.0,388576.0,34842.0,1547.0,57.0,0.0,0.0,32.0,0.0
All Types Of Building,Region V (Bicol Region),Catanduanes,2020,59815.0,60336.0,270759.0,59815.0,53695.0,5732.0,317.0,34.0,5.0,0.0,22.0,10.0
Apartment/Accessoria/Row House,Region V (Bicol Region),Catanduanes,2020,155.0,157.0,528.0,155.0,85.0,53.0,14.0,3.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region V (Bicol Region),Catanduanes,2020,76.0,79.0,306.0,76.0,27.0,29.0,9.0,6.0,5.0,0.0,0.0,0.0
Condominium/Condotel,Region V (Bicol Region),Catanduanes,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region V (Bicol Region),Catanduanes,2020,344.0,348.0,1390.0,344.0,248.0,87.0,7.0,1.0,0.0,0.0,1.0,0.0
Institutional Living Quarter,Region V (Bicol Region),Catanduanes,2020,57.0,57.0,203.0,57.0,22.0,22.0,10.0,3.0,0.0,0.0,0.0,0.0
Not Reported,Region V (Bicol Region),Catanduanes,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region V (Bicol Region),Catanduanes,2020,59.0,60.0,225.0,59.0,46.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region V (Bicol Region),Catanduanes,2020,10.0,10.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Single House,Region V (Bicol Region),Catanduanes,2020,59114.0,59625.0,268062.0,59114.0,53267.0,5529.0,276.0,21.0,0.0,0.0,21.0,0.0
All Types Of Building,Region V (Bicol Region),Masbate,2020,204668.0,206278.0,906429.0,204668.0,190424.0,13680.0,477.0,38.0,3.0,0.0,43.0,3.0
Apartment/Accessoria/Row House,Region V (Bicol Region),Masbate,2020,486.0,493.0,1823.0,486.0,213.0,213.0,47.0,10.0,3.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region V (Bicol Region),Masbate,2020,137.0,138.0,554.0,137.0,70.0,56.0,9.0,2.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Region V (Bicol Region),Masbate,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region V (Bicol Region),Masbate,2020,1441.0,1455.0,6256.0,1441.0,1037.0,391.0,13.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region V (Bicol Region),Masbate,2020,11.0,11.0,38.0,11.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region V (Bicol Region),Masbate,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region V (Bicol Region),Masbate,2020,439.0,441.0,1802.0,439.0,288.0,143.0,8.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region V (Bicol Region),Masbate,2020,3.0,3.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Single House,Region V (Bicol Region),Masbate,2020,202151.0,203737.0,895936.0,202151.0,188811.0,12874.0,397.0,26.0,0.0,0.0,43.0,0.0
All Types Of Building,Region V (Bicol Region),Sorsogon,2020,185489.0,187438.0,826119.0,185489.0,170629.0,14224.0,581.0,33.0,1.0,0.0,19.0,2.0
Apartment/Accessoria/Row House,Region V (Bicol Region),Sorsogon,2020,947.0,956.0,3495.0,947.0,657.0,245.0,44.0,0.0,1.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region V (Bicol Region),Sorsogon,2020,171.0,173.0,599.0,171.0,86.0,67.0,17.0,1.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Region V (Bicol Region),Sorsogon,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region V (Bicol Region),Sorsogon,2020,2673.0,2696.0,10961.0,2673.0,2310.0,361.0,2.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region V (Bicol Region),Sorsogon,2020,18.0,18.0,61.0,18.0,9.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0
Not Reported,Region V (Bicol Region),Sorsogon,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region V (Bicol Region),Sorsogon,2020,521.0,529.0,2077.0,521.0,422.0,92.0,7.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region V (Bicol Region),Sorsogon,2020,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Single House,Region V (Bicol Region),Sorsogon,2020,181157.0,183064.0,808923.0,181157.0,167145.0,13454.0,508.0,31.0,0.0,0.0,19.0,0.0
All Types Of Building,Region Vi (Western Visayas),Aklan,2020,147890.0,151373.0,612972.0,147890.0,128838.0,18161.0,793.0,85.0,5.0,1.0,6.0,1.0
Apartment/Accessoria/Row House,Region Vi (Western Visayas),Aklan,2020,1878.0,1896.0,6921.0,1878.0,1220.0,535.0,101.0,22.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Vi (Western Visayas),Aklan,2020,249.0,252.0,885.0,249.0,87.0,94.0,50.0,17.0,1.0,0.0,0.0,0.0
Condominium/Condotel,Region Vi (Western Visayas),Aklan,2020,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Duplex,Region Vi (Western Visayas),Aklan,2020,1465.0,1501.0,5558.0,1465.0,1005.0,437.0,20.0,3.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region Vi (Western Visayas),Aklan,2020,38.0,40.0,146.0,38.0,11.0,11.0,11.0,3.0,1.0,1.0,0.0,0.0
Not Reported,Region Vi (Western Visayas),Aklan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Vi (Western Visayas),Aklan,2020,321.0,325.0,1096.0,321.0,150.0,166.0,4.0,1.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Vi (Western Visayas),Aklan,2020,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Single House,Region Vi (Western Visayas),Aklan,2020,143935.0,147355.0,598359.0,143935.0,126365.0,16918.0,607.0,39.0,0.0,0.0,6.0,0.0
All Types Of Building,Region Vi (Western Visayas),Antique,2020,146370.0,147681.0,611453.0,146370.0,139189.0,6981.0,144.0,13.0,0.0,0.0,41.0,2.0
Apartment/Accessoria/Row House,Region Vi (Western Visayas),Antique,2020,584.0,585.0,2160.0,584.0,516.0,64.0,4.0,0.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Vi (Western Visayas),Antique,2020,123.0,123.0,462.0,123.0,75.0,39.0,6.0,3.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Region Vi (Western Visayas),Antique,2020,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Duplex,Region Vi (Western Visayas),Antique,2020,1549.0,1566.0,6144.0,1549.0,1371.0,176.0,2.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region Vi (Western Visayas),Antique,2020,15.0,15.0,57.0,15.0,7.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
Not Reported,Region Vi (Western Visayas),Antique,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Vi (Western Visayas),Antique,2020,308.0,308.0,1131.0,308.0,262.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Vi (Western Visayas),Antique,2020,2.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Single House,Region Vi (Western Visayas),Antique,2020,143788.0,145081.0,601491.0,143788.0,136958.0,6650.0,132.0,8.0,0.0,0.0,40.0,0.0
All Types Of Building,Region Vi (Western Visayas),Capiz,2020,199268.0,202026.0,803856.0,199268.0,186269.0,12601.0,331.0,17.0,0.0,0.0,41.0,9.0
Apartment/Accessoria/Row House,Region Vi (Western Visayas),Capiz,2020,3832.0,3863.0,13698.0,3832.0,3168.0,614.0,47.0,2.0,0.0,0.0,1.0,0.0
Commercial/Industrial/Agricultural,Region Vi (Western Visayas),Capiz,2020,106.0,108.0,394.0,106.0,48.0,42.0,14.0,1.0,0.0,0.0,1.0,0.0
Condominium/Condotel,Region Vi (Western Visayas),Capiz,2020,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Duplex,Region Vi (Western Visayas),Capiz,2020,2841.0,2886.0,11015.0,2841.0,2248.0,581.0,11.0,0.0,0.0,0.0,1.0,0.0
Institutional Living Quarter,Region Vi (Western Visayas),Capiz,2020,10.0,10.0,31.0,10.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region Vi (Western Visayas),Capiz,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Vi (Western Visayas),Capiz,2020,560.0,570.0,2161.0,560.0,392.0,156.0,11.0,0.0,0.0,0.0,1.0,0.0
Other Types Of Building,Region Vi (Western Visayas),Capiz,2020,9.0,9.0,31.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Single House,Region Vi (Western Visayas),Capiz,2020,191908.0,194578.0,776522.0,191908.0,180410.0,11202.0,247.0,14.0,0.0,0.0,35.0,0.0
All Types Of Building,Region Vi (Western Visayas),City Of Bacolod,2020,138999.0,142813.0,597409.0,138999.0,112947.0,25331.0,551.0,108.0,12.0,0.0,44.0,6.0
Apartment/Accessoria/Row House,Region Vi (Western Visayas),City Of Bacolod,2020,2462.0,2489.0,7537.0,2462.0,1085.0,1181.0,139.0,50.0,1.0,0.0,6.0,0.0
Commercial/Industrial/Agricultural,Region Vi (Western Visayas),City Of Bacolod,2020,372.0,394.0,1279.0,372.0,147.0,146.0,59.0,14.0,6.0,0.0,0.0,0.0
Condominium/Condotel,Region Vi (Western Visayas),City Of Bacolod,2020,10.0,10.0,24.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0
Duplex,Region Vi (Western Visayas),City Of Bacolod,2020,3144.0,3209.0,12257.0,3144.0,2458.0,671.0,13.0,2.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region Vi (Western Visayas),City Of Bacolod,2020,42.0,44.0,99.0,42.0,34.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0
Not Reported,Region Vi (Western Visayas),City Of Bacolod,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Vi (Western Visayas),City Of Bacolod,2020,1246.0,1250.0,4480.0,1246.0,773.0,445.0,28.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Vi (Western Visayas),City Of Bacolod,2020,6.0,6.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Single House,Region Vi (Western Visayas),City Of Bacolod,2020,131717.0,135411.0,571722.0,131717.0,108450.0,22883.0,310.0,41.0,0.0,0.0,33.0,0.0
All Types Of Building,Region Vi (Western Visayas),City Of Iloilo,2020,98154.0,104300.0,455261.0,98154.0,57890.0,38439.0,1392.0,207.0,62.0,0.0,151.0,13.0
Apartment/Accessoria/Row House,Region Vi (Western Visayas),City Of Iloilo,2020,3935.0,4107.0,15137.0,3935.0,814.0,2826.0,219.0,57.0,10.0,0.0,9.0,0.0
Commercial/Industrial/Agricultural,Region Vi (Western Visayas),City Of Iloilo,2020,392.0,412.0,1419.0,392.0,142.0,121.0,77.0,32.0,19.0,0.0,1.0,0.0
Condominium/Condotel,Region Vi (Western Visayas),City Of Iloilo,2020,54.0,55.0,177.0,54.0,0.0,0.0,0.0,7.0,32.0,0.0,15.0,0.0
Duplex,Region Vi (Western Visayas),City Of Iloilo,2020,2431.0,2568.0,10738.0,2431.0,1163.0,1192.0,55.0,16.0,0.0,0.0,5.0,0.0
Institutional Living Quarter,Region Vi (Western Visayas),City Of Iloilo,2020,29.0,29.0,130.0,29.0,18.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0
Not Reported,Region Vi (Western Visayas),City Of Iloilo,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Vi (Western Visayas),City Of Iloilo,2020,1201.0,1246.0,4968.0,1201.0,462.0,690.0,34.0,10.0,0.0,0.0,5.0,0.0
Other Types Of Building,Region Vi (Western Visayas),City Of Iloilo,2020,13.0,14.0,51.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Single House,Region Vi (Western Visayas),City Of Iloilo,2020,90099.0,95869.0,422641.0,90099.0,55291.0,33601.0,1006.0,85.0,0.0,0.0,116.0,0.0
All Types Of Building,Region Vi (Western Visayas),Guimaras,2020,47137.0,47474.0,187574.0,47137.0,45132.0,1962.0,30.0,2.0,0.0,0.0,9.0,2.0
Apartment/Accessoria/Row House,Region Vi (Western Visayas),Guimaras,2020,37.0,37.0,107.0,37.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Vi (Western Visayas),Guimaras,2020,57.0,57.0,208.0,57.0,26.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Region Vi (Western Visayas),Guimaras,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region Vi (Western Visayas),Guimaras,2020,51.0,51.0,202.0,51.0,39.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region Vi (Western Visayas),Guimaras,2020,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region Vi (Western Visayas),Guimaras,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Vi (Western Visayas),Guimaras,2020,17.0,17.0,49.0,17.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Vi (Western Visayas),Guimaras,2020,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Single House,Region Vi (Western Visayas),Guimaras,2020,46972.0,47309.0,187001.0,46972.0,45037.0,1906.0,18.0,2.0,0.0,0.0,9.0,0.0
All Types Of Building,Region Vi (Western Visayas),Iloilo *,2020,499274.0,506167.0,2048000.0,499274.0,459954.0,38287.0,635.0,60.0,0.0,0.0,311.0,27.0
Apartment/Accessoria/Row House,Region Vi (Western Visayas),Iloilo *,2020,8635.0,8671.0,32675.0,8635.0,7088.0,1516.0,27.0,2.0,0.0,0.0,2.0,0.0
Commercial/Industrial/Agricultural,Region Vi (Western Visayas),Iloilo *,2020,283.0,288.0,862.0,283.0,194.0,63.0,19.0,6.0,0.0,0.0,1.0,0.0
Condominium/Condotel,Region Vi (Western Visayas),Iloilo *,2020,4.0,4.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Duplex,Region Vi (Western Visayas),Iloilo *,2020,5886.0,5989.0,23256.0,5886.0,4676.0,1165.0,28.0,3.0,0.0,0.0,14.0,0.0
Institutional Living Quarter,Region Vi (Western Visayas),Iloilo *,2020,55.0,57.0,205.0,55.0,43.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region Vi (Western Visayas),Iloilo *,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Vi (Western Visayas),Iloilo *,2020,2144.0,2155.0,7835.0,2144.0,1421.0,697.0,21.0,1.0,0.0,0.0,4.0,0.0
Other Types Of Building,Region Vi (Western Visayas),Iloilo *,2020,27.0,29.0,86.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
