Region,City/Province,Year,"Occupied Housing Units, Number of Households, Household Population, by Type of Building and Province/Highly Urbanized City: Philippines, 2020",Unnamed: 2,Unnamed: 3,Unnamed: 4,"Occupied Housing Units by Floor Area, Number of Occupants in Each Housing Unit and Province/Highly Urbanized City: Philippines, 2020",Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,"Occupied Housing Units by Type of Building, Number of Floors, and Province/Highly Urbanized City: Philippines, 2020"
REGION VII (CENTRAL VISAYAS),Bohol,2020,,313935,316631,1370002,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),Cebu,2020,,732313,756020,3148475,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),Negros Oriental,2020,,335129,339636,1397575,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),Siquijor,2020,,25565,25667,102580,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),City of Cebu,2020,,193234,209632,864929,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),City of Lapu-Lapu (Opon),2020,,100557,102457,405821,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),City of Mandaue,2020,,83603,85997,310319,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Biliran,2020,,41393,41795,174098,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,2020,,112273,113070,465287,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,2020,,421070,425336,1699969,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,2020,,135849,137901,628800,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),2020,,172195,175217,765020,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Southern Leyte,2020,,96269,97051,412955,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),City of Tacloban,2020,,43943,45659,199945,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Norte,2020,,235603,242691,1027074,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Sur,2020,,229928,236609,1038123,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),Zamboanga Sibugay,2020,,147054,150481,652560,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),City of Isabela*,2020,,23504,25772,125927,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),City of Zamboanga,2020,,193942,210441,904101,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),Bukidnon,2020,,340595,349505,1509169,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),Camiguin,2020,,21596,22049,91805,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),Lanao del Norte,2020,,134206,157066,702568,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),Misamis Occidental,2020,,140552,144001,595197,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),Misamis Oriental,2020,,211538,222940,927445,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),City of Cagayan de Oro,2020,,160348,171350,657192,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),City of Iligan,2020,,72333,77199,322613,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao de Oro (Compostela Valley),2020,,171682,175811,715772,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao del Norte,2020,,251286,258436,1067918,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao del Sur,2020,,172571,177480,662331,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao Occidental,2020,,76650,78090,316635,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao Oriental,2020,,130778,136419,561431,,,,,,,,,,,,,
REGION XI (DAVAO REGION),City of Davao,2020,,420331,445372,1677807,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),2020,,294899,301435,1247605,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),Sarangani,2020,,129155,132021,551305,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),South Cotabato,2020,,232535,238735,954185,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),Sultan Kudarat,2020,,192648,199455,839319,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),City of General Santos (Dadiangas),2020,,155606,159250,648324,,,,,,,,,,,,,
REGION XIII (CARAGA),Agusan del Norte,2020,,85438,88306,376099,,,,,,,,,,,,,
REGION XIII (CARAGA),Agusan del Sur,2020,,169439,171385,728709,,,,,,,,,,,,,
REGION XIII (CARAGA),Dinagat Islands,2020,,28195,29137,126982,,,,,,,,,,,,,
REGION XIII (CARAGA),Surigao del Norte,2020,,120349,123214,516874,,,,,,,,,,,,,
REGION XIII (CARAGA),Surigao del Sur,2020,,143694,146793,626580,,,,,,,,,,,,,
REGION XIII (CARAGA),City of Butuan,2020,,81867,84706,354511,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Basilan,2020,,69013,73084,423305,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Lanao del Sur,2020,,127356,177392,1152661,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Maguindanao,2020,,262899,283047,1645453,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Sulu,2020,,144885,162882,979880,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Tawi-Tawi,2020,,65547,74547,437356,,,,,,,,,,,,,
