Region,IncomeGroup,Value,Year
City of Cagayan de Oro,All Income Groups,3586.98,2018
REGION XI - DAVAO REGION,2nd Decile,20345.25,2018
Davao Del Norte,3rd Decile,4132.54,2018
Davao Del Sur (Excluding City of Davao),4th Decile,2725.78,2018
City of Davao,5th Decile,10125.21,2018
Davao Oriental,6th Decile,2007.16,2018
Davao De Oro,7th Decile,2508.83,2018
Davao Occidental,8th Decile,789.23,2018
REGION XII - SOCCSKSARGEN1/,10th Decile,14181.78,2018
Cotabato (North Cotabato),All Income Groups,4631.19,2018
South Cotabato (Excluding City of General Santos),1st Decile,3537.93,2018
City of General Santos (Dadiangas),2nd Decile,2896.13,2018
Sultan Kudarat,3rd Decile,2300.74,2018
Sarangani,4th Decile,1252.96,2018
CARAGA,6th Decile,8411.85,2018
Agusan Del Norte (Excluding City of Butuan),7th Decile,1073.92,2018
City of Butuan,8th Decile,1266.6,2018
Agusan Del Sur,9th Decile,2085.15,2018
Surigao Del Norte,10th Decile,1661.1,2018
Surigao Del Sur,All Income Groups,2118.75,2018
Dinagat Islands,1st Decile,379.99,2018
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,3rd Decile,9021.27,2018
Basilan,4th Decile,651.69,2018
Lanao Del Sur,5th Decile,2215.14,2018
Maguindanao ,6th Decile,2535.25,2018
Maguindanao del Norte,7th Decile,,2018
Maguindanao del Sur,8th Decile,,2018
Sulu,9th Decile,1914.01,2018
Tawi-Tawi,10th Decile,1017.6,2018
Cotabato City,All Income Groups,898.12,2018
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",1st Decile,,2018
Notes:,3rd Decile,,2018
p - Estimates are preliminary and may change,4th Decile,,2018
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",5th Decile,,2018
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",6th Decile,,2018
Details may not add up to total due to rounding.,7th Decile,,2018
PHILIPPINES,8th Decile,488345.43,2018
NATIONAL CAPITAL REGION,10th Decile,111696.33,2018
NCR I,All Income Groups,,2018
City of Manila,1st Decile,16395.65,2018
NCR II,2nd Decile,,2018
City of Mandaluyong,3rd Decile,4683.56,2018
City of San Juan,4th Decile,1100.89,2018
Quezon City,5th Decile,23706.56,2018
City of Marikina,6th Decile,3523.89,2018
City of Pasig,7th Decile,6688.45,2018
NCR III,8th Decile,,2018
City of Caloocan,9th Decile,11662,2018
City of Malabon,10th Decile,2682.49,2018
City of Navotas,All Income Groups,1731.19,2018
City of Valenzuela,1st Decile,5109.59,2018
NCR IV,2nd Decile,,2018
City of Las Piñas,3rd Decile,5771.18,2018
City of Muntinlupa,4th Decile,4411.52,2018
City of Parañaque,5th Decile,6762.74,2018
Pasay City,6th Decile,4263.91,2018
City of Makati,7th Decile,8010.09,2018
Pateros,8th Decile,528.02,2018
City of Taguig,9th Decile,7850.06,2018
CAR - CORDILLERA ADMINISTRATIVE REGION,All Income Groups,8721.7,2018
Abra,1st Decile,851.9,2018
Benguet (Excluding City of Baguio),2nd Decile,2605.09,2018
City of Baguio,3rd Decile,3432.33,2018
Ifugao,4th Decile,901.42,2018
Kalinga,5th Decile,964.39,2018
Mountain Province,6th Decile,583.78,2018
Apayao,7th Decile,418.52,2018
REGION I - ILOCOS REGION,9th Decile,25406.42,2018
Ilocos Norte,10th Decile,3536.61,2018
Ilocos Sur,All Income Groups,3291.27,2018
La Union,1st Decile,4324.15,2018
Pangasinan,2nd Decile,13965.56,2018
REGION II - CAGAYAN VALLEY,4th Decile,14549.75,2018
Batanes,5th Decile,124.88,2018
Cagayan,6th Decile,5117.68,2018
Isabela,7th Decile,6193.89,2018
Nueva Vizcaya,8th Decile,2314.16,2018
Quirino,9th Decile,777.37,2018
REGION III - CENTRAL LUZON,All Income Groups,68448.76,2018
Aurora,1st Decile,870.65,2018
Bataan,2nd Decile,5231.8,2018
Bulacan,3rd Decile,21732.12,2018
Nueva Ecija,4th Decile,10806.35,2018
Pampanga (Excluding City of Angeles),5th Decile,16014.04,2018
City of Angeles,6th Decile,3244.12,2018
Tarlac,7th Decile,6466.49,2018
Zambales (Excluding City of Olongapo),8th Decile,3119.7,2018
City of Olongapo,9th Decile,1578.96,2018
REGION IVA - CALABARZON,All Income Groups,98515.5,2018
Batangas,1st Decile,16173.37,2018
Cavite,2nd Decile,27944.31,2018
Laguna,3rd Decile,25085.78,2018
Quezon (Excluding City of Lucena),4th Decile,7203.8,2018
City of Lucena,5th Decile,1538.79,2018
Rizal,6th Decile,22669.76,2018
MIMAROPA REGION,8th Decile,12140.92,2018
Marinduque,9th Decile,952.1,2018
Occidental Mindoro,10th Decile,1769.82,2018
Oriental Mindoro,All Income Groups,3855.74,2018
Palawan (Excluding City of Puerto Princesa),1st Decile,3518.69,2018
City of Puerto Princesa,2nd Decile,1581.68,2018
Romblon,3rd Decile,941.7,2018
REGION V - BICOL REGION,5th Decile,19532.08,2018
Albay,6th Decile,4973.94,2018
Camarines Norte,7th Decile,1991.57,2018
Camarines Sur,8th Decile,6854.3,2018
Catanduanes,9th Decile,948.3,2018
Masbate,10th Decile,2461.66,2018
Sorsogon,All Income Groups,2880.68,2018
REGION VI - WESTERN VISAYAS,2nd Decile,18959.54,2018
Aklan,3rd Decile,2626.46,2018
Antique,4th Decile,2289.99,2018
Capiz,5th Decile,3307.13,2018
Iloilo (Excluding City of Iloilo),6th Decile,8132.89,2018
City of Iloilo,7th Decile,2736.65,2018
Guimaras,8th Decile,796.32,2018
NEGROS ISLAND REGION,10th Decile,16673.63,2018
Negros Occidental (Excluding City of Bacolod),All Income Groups,9036.68,2018
City of Bacolod,1st Decile,3493.02,2018
Negros Oriental,2nd Decile,4721.96,2018
Siquijor,3rd Decile,426.14,2018
REGION VII - CENTRAL VISAYAS,5th Decile,30194.38,2018
Bohol,6th Decile,5148.7,2018
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),7th Decile,13373.28,2018
City of Cebu,8th Decile,5918.06,2018
City of Lapu-Lapu (Opon),9th Decile,3098.94,2018
City of Mandaue ,10th Decile,2919.32,2018
REGION VIII - EASTERN VISAYAS,1st Decile,13924.5,2018
Eastern Samar,2nd Decile,1516.29,2018
Leyte (Excluding City of Tacloban),3rd Decile,4956.45,2018
City of Tacloban,4th Decile,1151.54,2018
Northern Samar,5th Decile,2059.93,2018
Samar (Western Samar),6th Decile,2374.34,2018
Southern Leyte,7th Decile,1425.79,2018
Biliran,8th Decile,631.26,2018
REGION IX - ZAMBOANGA PENINSULA,10th Decile,11931.79,2018
Zamboanga Del Norte,All Income Groups,3030.78,2018
Zamboanga Del Sur (Excluding City of Zamboanga),1st Decile,2884.78,2018
City of Zamboanga,2nd Decile,4381.76,2018
Zamboanga Sibugay,3rd Decile,2035.14,2018
Isabela City,4th Decile,334.26,2018
REGION X - NORTHERN MINDANAO,6th Decile,17274.29,2018
Bukidnon,7th Decile,4781.9,2018
Camiguin,8th Decile,350.83,2018
Lanao Del Norte (Excluding City of Iligan),9th Decile,2216.58,2018
City of Iligan,10th Decile,1508.74,2018
Misamis Occidental,All Income Groups,1976.34,2018
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",1st Decile,3310.74,2018
City of Cagayan de Oro,2nd Decile,3961.12,2018
REGION XI - DAVAO REGION,4th Decile,22246.05,2018
Davao Del Norte,5th Decile,4828.94,2018
Davao Del Sur (Excluding City of Davao),6th Decile,2801.08,2018
City of Davao,7th Decile,10654.98,2018
Davao Oriental,8th Decile,2012.22,2018
Davao De Oro,9th Decile,2529.46,2018
Davao Occidental,10th Decile,902.59,2018
REGION XII - SOCCSKSARGEN1/,1st Decile,15601.82,2018
Cotabato (North Cotabato),2nd Decile,4964.61,2018
South Cotabato (Excluding City of General Santos),3rd Decile,3899.1,2018
City of General Santos (Dadiangas),4th Decile,3362.76,2018
Sultan Kudarat,5th Decile,2529.43,2018
Sarangani,6th Decile,1481.6,2018
CARAGA,8th Decile,9316.97,2018
Agusan Del Norte (Excluding City of Butuan),9th Decile,1133.36,2018
City of Butuan,10th Decile,1428.62,2018
Agusan Del Sur,All Income Groups,2187.9,2018
Surigao Del Norte,1st Decile,1841.28,2018
Surigao Del Sur,2nd Decile,2089.98,2018
Dinagat Islands,3rd Decile,428.1,2018
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,5th Decile,9538.03,2018
Basilan,6th Decile,709.26,2018
Lanao Del Sur,7th Decile,2242.02,2018
Maguindanao ,8th Decile,2809.15,2018
Maguindanao del Norte,9th Decile,,2018
Maguindanao del Sur,10th Decile,,2018
Sulu,All Income Groups,1887.56,2018
Tawi-Tawi,1st Decile,1087.47,2018
Cotabato City,2nd Decile,1019.92,2018
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",3rd Decile,,2018
Notes:,5th Decile,,2018
p - Estimates are preliminary and may change,6th Decile,,2018
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",7th Decile,,2018
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",8th Decile,,2018
Details may not add up to total due to rounding.,9th Decile,,2018
PHILIPPINES,10th Decile,556838.29,2018
NATIONAL CAPITAL REGION,1st Decile,124357.3,2018
NCR I,2nd Decile,,2018
City of Manila,3rd Decile,16359.63,2018
NCR II,4th Decile,,2018
City of Mandaluyong,5th Decile,4765.88,2018
City of San Juan,6th Decile,1314.67,2018
Quezon City,7th Decile,26909.54,2018
City of Marikina,8th Decile,3958.4,2018
City of Pasig,9th Decile,7737.43,2018
NCR III,10th Decile,,2018
City of Caloocan,All Income Groups,12364.79,2018
City of Malabon,1st Decile,2647.08,2018
City of Navotas,2nd Decile,1923.65,2018
City of Valenzuela,3rd Decile,5256.32,2018
NCR IV,4th Decile,,2018
City of Las Piñas,5th Decile,6461.74,2018
City of Muntinlupa,6th Decile,5038.91,2018
City of Parañaque,7th Decile,8068.85,2018
Pasay City,8th Decile,4662.4,2018
City of Makati,9th Decile,8592.26,2018
Pateros,10th Decile,585.76,2018
City of Taguig,All Income Groups,8255.89,2018
CAR - CORDILLERA ADMINISTRATIVE REGION,2nd Decile,9950.63,2018
Abra,3rd Decile,1064.84,2018
Benguet (Excluding City of Baguio),4th Decile,3094.73,2018
City of Baguio,5th Decile,3993.48,2018
Ifugao,6th Decile,896.24,2018
Kalinga,7th Decile,1029.51,2018
Mountain Province,8th Decile,634.68,2018
Apayao,9th Decile,454.31,2018
REGION I - ILOCOS REGION,All Income Groups,24970.35,2018
Ilocos Norte,1st Decile,3746.34,2018
Ilocos Sur,2nd Decile,3486.97,2018
La Union,3rd Decile,4724.42,2018
Pangasinan,4th Decile,14165.03,2018
REGION II - CAGAYAN VALLEY,6th Decile,16707,2018
Batanes,7th Decile,128.82,2018
Cagayan,8th Decile,5921.02,2018
Isabela,9th Decile,7181.7,2018
Nueva Vizcaya,10th Decile,2812.21,2018
Quirino,All Income Groups,906.6,2018
REGION III - CENTRAL LUZON,2nd Decile,74945.19,2018
Aurora,3rd Decile,944.17,2018
Bataan,4th Decile,6113.36,2018
Bulacan,5th Decile,24108.05,2018
Nueva Ecija,6th Decile,12333.21,2018
Pampanga (Excluding City of Angeles),7th Decile,16386.91,2018
City of Angeles,8th Decile,3542.74,2018
Tarlac,9th Decile,7405.57,2018
Zambales (Excluding City of Olongapo),10th Decile,3333.45,2018
City of Olongapo,All Income Groups,1869.6,2018
REGION IVA - CALABARZON,2nd Decile,114417.39,2018
Batangas,3rd Decile,19888.3,2018
Cavite,4th Decile,31693.93,2018
Laguna,5th Decile,27496.58,2018
Quezon (Excluding City of Lucena),6th Decile,8103.12,2018
City of Lucena,7th Decile,1770.62,2018
Rizal,8th Decile,25312.35,2018
MIMAROPA REGION,10th Decile,13262.76,2018
Marinduque,All Income Groups,954.78,2018
Occidental Mindoro,1st Decile,1873.36,2018
Oriental Mindoro,2nd Decile,4063.63,2018
Palawan (Excluding City of Puerto Princesa),3rd Decile,3753.1,2018
City of Puerto Princesa,4th Decile,1905.09,2018
Romblon,5th Decile,993.73,2018
REGION V - BICOL REGION,7th Decile,21659.59,2018
Albay,8th Decile,5542.31,2018
Camarines Norte,9th Decile,2168.44,2018
Camarines Sur,10th Decile,7323.97,2018
Catanduanes,All Income Groups,1084.23,2018
Masbate,1st Decile,2755.7,2018
Sorsogon,2nd Decile,3130.41,2018
REGION VI - WESTERN VISAYAS,4th Decile,20941.59,2018
Aklan,5th Decile,2684.68,2018
Antique,6th Decile,2424.09,2018
Capiz,7th Decile,3518.51,2018
Iloilo (Excluding City of Iloilo),8th Decile,8495.48,2018
City of Iloilo,9th Decile,2962.8,2018
Guimaras,10th Decile,856.35,2018
NEGROS ISLAND REGION,1st Decile,18460.52,2018
Negros Occidental (Excluding City of Bacolod),2nd Decile,9505.08,2018
City of Bacolod,3rd Decile,3735.94,2018
Negros Oriental,4th Decile,5285.69,2018
Siquijor,5th Decile,485.13,2018
REGION VII - CENTRAL VISAYAS,7th Decile,34215.35,2018
Bohol,8th Decile,5901.03,2018
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),9th Decile,16151.01,2018
City of Cebu,10th Decile,7241.65,2018
City of Lapu-Lapu (Opon),All Income Groups,3345.45,2018
City of Mandaue ,1st Decile,3307.92,2018
REGION VIII - EASTERN VISAYAS,3rd Decile,15952.96,2018
Eastern Samar,4th Decile,1731.2,2018
Leyte (Excluding City of Tacloban),5th Decile,6220.66,2018
City of Tacloban,6th Decile,1293.88,2018
Northern Samar,7th Decile,2085.38,2018
Samar (Western Samar),8th Decile,2479.23,2018
Southern Leyte,9th Decile,1432.54,2018
Biliran,10th Decile,699.83,2018
REGION IX - ZAMBOANGA PENINSULA,1st Decile,12876.52,2018
Zamboanga Del Norte,2nd Decile,3243.91,2018
Zamboanga Del Sur (Excluding City of Zamboanga),3rd Decile,2846.37,2018
City of Zamboanga,4th Decile,4425.28,2018
Zamboanga Sibugay,5th Decile,2019.26,2018
Isabela City,6th Decile,323.68,2018
REGION X - NORTHERN MINDANAO,8th Decile,19364.78,2018
Bukidnon,9th Decile,4999.41,2018
Camiguin,10th Decile,367.31,2018
Lanao Del Norte (Excluding City of Iligan),All Income Groups,2431.22,2018
City of Iligan,1st Decile,1813.02,2018
Misamis Occidental,2nd Decile,2079.57,2018
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",3rd Decile,3697.55,2018
City of Cagayan de Oro,4th Decile,4756.37,2018
REGION XI - DAVAO REGION,6th Decile,25302.99,2018
Davao Del Norte,7th Decile,4742.31,2018
Davao Del Sur (Excluding City of Davao),8th Decile,3230.35,2018
City of Davao,9th Decile,12084.76,2018
Davao Oriental,10th Decile,1994.24,2018
Davao De Oro,All Income Groups,2887.59,2018
Davao Occidental,1st Decile,1003.46,2018
REGION XII - SOCCSKSARGEN1/,3rd Decile,18048.87,2018
Cotabato (North Cotabato),4th Decile,5736.39,2018
South Cotabato (Excluding City of General Santos),5th Decile,4229.79,2018
City of General Santos (Dadiangas),6th Decile,3495.89,2018
Sultan Kudarat,7th Decile,2722.58,2018
Sarangani,8th Decile,1616.77,2018
CARAGA,10th Decile,10009.31,2018
Agusan Del Norte (Excluding City of Butuan),All Income Groups,1168.89,2018
City of Butuan,1st Decile,1587.23,2018
Agusan Del Sur,2nd Decile,2521.91,2018
Surigao Del Norte,3rd Decile,2165.7,2018
Surigao Del Sur,4th Decile,2272.51,2018
Dinagat Islands,5th Decile,446.72,2018
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,7th Decile,10006.82,2018
Basilan,8th Decile,706.23,2018
Lanao Del Sur,9th Decile,2446.13,2018
Maguindanao ,10th Decile,3058.75,2018
Maguindanao del Norte,All Income Groups,,2018
Maguindanao del Sur,1st Decile,,2018
Sulu,2nd Decile,1931.47,2018
Tawi-Tawi,3rd Decile,1082.99,2018
Cotabato City,4th Decile,1021.38,2018
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",5th Decile,,2018
Notes:,7th Decile,,2018
p - Estimates are preliminary and may change,8th Decile,,2018
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",9th Decile,,2018
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",10th Decile,,2018
Details may not add up to total due to rounding.,All Income Groups,,2018
PHILIPPINES,1st Decile,649802.48,2018
NATIONAL CAPITAL REGION,3rd Decile,136331.78,2018
NCR I,4th Decile,,2018
City of Manila,5th Decile,18953.61,2018
NCR II,6th Decile,,2018
City of Mandaluyong,7th Decile,5746.47,2018
City of San Juan,8th Decile,1406.52,2018
Quezon City,9th Decile,30034.67,2018
City of Marikina,10th Decile,4241.79,2018
City of Pasig,All Income Groups,8222.33,2018
NCR III,1st Decile,,2018
City of Caloocan,2nd Decile,13480.48,2018
City of Malabon,3rd Decile,2968.51,2018
City of Navotas,4th Decile,2097.62,2018
City of Valenzuela,5th Decile,6258.84,2018
NCR IV,6th Decile,,2018
City of Las Piñas,7th Decile,7059.95,2018
City of Muntinlupa,8th Decile,5278.37,2018
City of Parañaque,9th Decile,8061.08,2018
Pasay City,10th Decile,4426.24,2018
City of Makati,All Income Groups,8843.93,2018
Pateros,1st Decile,569.51,2018
City of Taguig,2nd Decile,9784.64,2018
CAR - CORDILLERA ADMINISTRATIVE REGION,4th Decile,12018.73,2018
Abra,5th Decile,1104.61,2018
Benguet (Excluding City of Baguio),6th Decile,3412,2018
City of Baguio,7th Decile,4323.03,2018
Ifugao,8th Decile,1092.87,2018
Kalinga,9th Decile,1129.89,2018
Mountain Province,10th Decile,675.66,2018
Apayao,All Income Groups,511.33,2018
REGION I - ILOCOS REGION,2nd Decile,29926.07,2018
Ilocos Norte,3rd Decile,3846.5,2018
Ilocos Sur,4th Decile,4000.15,2018
La Union,5th Decile,5362.52,2018
Pangasinan,6th Decile,15841.8,2018
REGION II - CAGAYAN VALLEY,8th Decile,17601.34,2018
Batanes,9th Decile,148.95,2018
Cagayan,10th Decile,6460.78,2018
Isabela,All Income Groups,7567.59,2018
Nueva Vizcaya,1st Decile,2770,2018
Quirino,2nd Decile,923.98,2018
REGION III - CENTRAL LUZON,4th Decile,85259.16,2018
Aurora,5th Decile,996.03,2018
Bataan,6th Decile,6483.69,2018
Bulacan,7th Decile,27779.06,2018
Nueva Ecija,8th Decile,13045.16,2018
Pampanga (Excluding City of Angeles),9th Decile,17921.42,2018
City of Angeles,10th Decile,3573.39,2018
Tarlac,All Income Groups,7916.9,2018
Zambales (Excluding City of Olongapo),1st Decile,4066.04,2018
City of Olongapo,2nd Decile,2193.13,2018
REGION IVA - CALABARZON,4th Decile,128966.66,2018
Batangas,5th Decile,21272.83,2018
Cavite,6th Decile,38671.54,2018
Laguna,7th Decile,30374.5,2018
Quezon (Excluding City of Lucena),8th Decile,8451.44,2018
City of Lucena,9th Decile,1890.71,2018
Rizal,10th Decile,29400.4,2018
MIMAROPA REGION,1st Decile,14480.21,2018
Marinduque,2nd Decile,1047.45,2018
Occidental Mindoro,3rd Decile,1993.36,2018
Oriental Mindoro,4th Decile,4259.81,2018
Palawan (Excluding City of Puerto Princesa),5th Decile,4073.14,2018
City of Puerto Princesa,6th Decile,2031.41,2018
Romblon,7th Decile,1073.69,2018
REGION V - BICOL REGION,9th Decile,23875.5,2018
Albay,10th Decile,5723.4,2018
Camarines Norte,All Income Groups,2292.15,2018
Camarines Sur,1st Decile,8328.9,2018
Catanduanes,2nd Decile,1213.03,2018
Masbate,3rd Decile,2733.41,2018
Sorsogon,4th Decile,3262.08,2018
REGION VI - WESTERN VISAYAS,6th Decile,22246.93,2018
Aklan,7th Decile,2835.68,2018
Antique,8th Decile,2613.32,2018
Capiz,9th Decile,3655.66,2018
Iloilo (Excluding City of Iloilo),10th Decile,9531.34,2018
City of Iloilo,All Income Groups,3688.06,2018
Guimaras,1st Decile,896.22,2018
NEGROS ISLAND REGION,3rd Decile,20429.98,2018
Negros Occidental (Excluding City of Bacolod),4th Decile,10573.33,2018
City of Bacolod,5th Decile,4083.22,2018
Negros Oriental,6th Decile,5542.01,2018
Siquijor,7th Decile,565.3,2018
REGION VII - CENTRAL VISAYAS,9th Decile,38950.34,2018
Bohol,10th Decile,7017.1,2018
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),All Income Groups,16858.91,2018
City of Cebu,1st Decile,8137.84,2018
City of Lapu-Lapu (Opon),2nd Decile,3774.87,2018
City of Mandaue ,3rd Decile,3461.39,2018
REGION VIII - EASTERN VISAYAS,5th Decile,17891.1,2018
Eastern Samar,6th Decile,1707.32,2018
Leyte (Excluding City of Tacloban),7th Decile,7011.69,2018
City of Tacloban,8th Decile,1471.31,2018
Northern Samar,9th Decile,2460.5,2018
Samar (Western Samar),10th Decile,2809.42,2018
Southern Leyte,All Income Groups,1626.6,2018
Biliran,1st Decile,743.89,2018
